,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
438,NYK,NYK @ BKN,03/13/2022,,L,240,107,39,83,47.0,11,29,37.9,18,21,85.7,11,29,40,27,8,5,17,21,-3
439,BKN,BKN vs. NYK,03/13/2022,,W,240,110,44,89,49.4,6,29,20.7,16,22,72.7,12,27,39,30,11,3,14,19,3
440,WAS,WAS @ POR,03/12/2022,,L,240,118,39,83,47.0,14,34,41.2,26,27,96.3,9,26,35,26,7,8,15,16,-9
441,POR,POR vs. WAS,03/12/2022,,W,240,127,48,93,51.6,11,30,36.7,20,22,90.9,12,31,43,21,10,3,11,21,9
442,SAC,SAC @ UTA,03/12/2022,,L,240,125,47,94,50.0,13,33,39.4,18,21,85.7,8,25,33,27,6,3,7,20,-9
443,UTA,UTA vs. SAC,03/12/2022,,W,240,134,48,86,55.8,16,41,39.0,22,31,71.0,10,34,44,21,4,5,10,20,9
444,DEN,DEN vs. TOR,03/12/2022,,L,240,115,43,78,55.1,11,27,40.7,18,24,75.0,9,30,39,32,4,5,19,23,-12
445,TOR,TOR @ DEN,03/12/2022,,W,240,127,48,102,47.1,12,31,38.7,19,25,76.0,23,27,50,28,12,6,8,23,12
446,MIL,MIL @ GSW,03/12/2022,,L,240,109,38,92,41.3,17,44,38.6,16,23,69.6,8,31,39,27,8,2,5,16,-13
447,GSW,GSW vs. MIL,03/12/2022,,W,240,122,45,93,48.4,18,45,40.0,14,15,93.3,12,43,55,33,3,7,12,19,13
448,CHI,CHI vs. CLE,03/12/2022,,W,240,101,39,88,44.3,9,21,42.9,14,15,93.3,8,38,46,20,12,5,14,18,10
449,CLE,CLE @ CHI,03/12/2022,,L,240,91,36,86,41.9,5,24,20.8,14,17,82.4,5,35,40,19,7,4,14,19,-10
450,MIA,MIA vs. MIN,03/12/2022,,L,240,104,35,88,39.8,15,45,33.3,19,25,76.0,11,42,53,23,7,1,18,24,-9
451,MIN,MIN @ MIA,03/12/2022,,W,240,113,35,83,42.2,15,42,35.7,28,32,87.5,6,40,46,21,12,5,15,19,9
452,SAS,SAS vs. IND,03/12/2022,,L,240,108,42,102,41.2,11,34,32.4,13,16,81.3,15,37,52,28,6,3,12,15,-11
453,IND,IND @ SAS,03/12/2022,,W,240,119,45,92,48.9,14,36,38.9,15,15,100,9,38,47,23,6,10,13,20,11
454,MEM,MEM vs. NYK,03/11/2022,,W,240,118,46,104,44.2,9,26,34.6,17,29,58.6,19,35,54,23,8,16,10,27,4
455,NYK,NYK @ MEM,03/11/2022,,L,240,114,38,90,42.2,10,25,40.0,28,37,75.7,15,39,54,23,8,6,16,31,-4
456,ATL,ATL vs. LAC,03/11/2022,,W,240,112,43,90,47.8,9,31,29.0,17,19,89.5,15,32,47,28,5,3,10,19,6
457,LAC,LAC @ ATL,03/11/2022,,L,240,106,40,82,48.8,12,32,37.5,14,17,82.4,6,30,36,22,7,3,12,20,-6
